timestamp,trial_number,mean_bal_acc,n_subjects,run_zscore,run_bandpass,norm_axis,flow,fhigh,lr_exp,lr,epochs,batch_size,n_steps_train,n_steps_eval,readout_mode,temporal_filters,depth_multiplier,pointwise_filters,temporal_kernel_div,separable_kernel_size,pool1_size,pool2_size,dropout,beta,spike_grad_slope
2026-06-25T02:26:28,0,0.411651,9,False,True,"(1, 3)",4.33888648536778,79.46686582908733,-3.8026175466297905,0.00015754,50,32,6,14,spk_last,29,3,10,4,30,2,5,0.522970886827774,0.7266007884584733,52.557414327126665
2026-06-25T03:38:17,1,0.44348,9,False,True,"(1, 3)",2.5661665601658443,111.95871313413983,-3.8106511963380396,0.00015465,50,32,10,13,mem_last,6,3,48,6,29,2,8,0.11457167412933789,0.6396454423626327,3.4409905005593915
2026-06-25T05:34:54,2,0.409915,9,False,True,"(1, 3)",4.230536396478805,89.64773582861243,-3.023411021680051,0.00094752,50,32,9,13,spk_mean,19,4,24,7,11,7,7,0.14059963014355195,0.9742909466403237,4.9224549245581235
2026-06-25T06:15:27,3,0.406443,9,False,True,"(1, 3)",4.707862992863212,41.33011875611366,-2.1699817146942877,0.00676111,50,32,4,14,mem_last,11,4,40,8,26,6,7,0.44504000576525315,0.6719815152143229,31.80337483263386
2026-06-25T07:50:44,4,0.477431,9,False,True,"(1, 3)",2.4735644741688634,77.61183990786581,-2.7941287526052805,0.00160646,50,32,7,28,spk_mean,30,1,25,8,19,6,4,0.3644742854601941,0.9276153147796563,11.53170045972808
2026-06-25T11:19:51,5,0.41358,9,False,True,"(1, 3)",2.069856433827971,75.27512692227936,-3.6450158816487384,0.00022646,50,32,15,10,mem_last,21,2,22,3,30,7,7,0.6366220620331282,0.700974462269877,20.878748528196713
2026-06-25T13:51:43,6,0.467785,9,False,True,"(1, 3)",1.6701603635924558,67.3475908494515,-2.4845736698673555,0.00327662,50,32,9,13,spk_sum,28,4,18,8,14,6,5,0.6884604621470769,0.9479947395734827,20.29950054589022
2026-06-25T15:24:08,7,0.398727,9,False,True,"(1, 3)",2.963893624757568,14.993788934626043,-2.05534183126607,0.00880356,50,32,12,7,spk_mean,30,4,56,8,22,8,8,0.5606635410871894,0.5412334134954935,34.71907089090575
2026-06-25T16:23:31,8,0.310764,9,False,True,"(1, 3)",1.3930266113759897,10.001778405130498,-4.438767257155038,3.641e-05,50,32,16,25,mem_last,15,2,9,6,12,3,7,0.4584355900227082,0.8890315223793366,33.785691212851255
2026-06-25T17:28:16,9,0.411651,9,False,True,"(1, 3)",3.0371031665689263,75.33237645082441,-3.560593742399421,0.00027505,50,32,9,4,mem_last,26,1,36,3,14,8,8,0.5035405218232006,0.5635003478867374,45.311471005317564
2026-06-25T19:00:01,10,0.434992,9,False,True,"(1, 3)",4.310253887876284,107.12890967444378,-2.7693399560866663,0.00170083,50,32,11,18,spk_mean,24,3,28,6,21,6,2,0.22528400492027895,0.9417246689519811,32.327566713855234
2026-06-25T20:33:24,11,0.487076,9,False,True,"(1, 3)",1.0097029018956665,107.44916560403574,-2.840925143121418,0.00144236,50,32,15,25,spk_sum,25,2,17,8,18,4,5,0.4775781283060294,0.6827551417548541,45.46575446423436
2026-06-25T21:47:00,12,0.349344,9,False,True,"(1, 3)",2.895463026519025,93.16944701663778,-4.318566733208252,4.802e-05,50,32,16,26,spk_mean,23,1,39,7,18,8,7,0.37777913870335933,0.5235192921806072,52.930910140373285
2026-06-25T21:52:24,13,0.429977,9,False,True,"(1, 3)",2.5310132250102058,31.671999299629597,-2.6776819289459057,0.00210048,50,32,6,30,spk_last,6,4,56,2,19,3,7,0.5756825252899755,0.9240735016538439,18.101855944114657
2026-06-25T22:19:44,14,0.404128,9,False,True,"(1, 3)",2.5835763714507776,41.00950933021567,-2.669487121020114,0.00214049,50,32,4,12,mem_last,7,3,44,6,28,5,6,0.17837454494799213,0.9248186972134449,14.544341693956905
2026-06-25T22:49:26,15,0.333526,9,False,True,"(1, 3)",2.7174712152755873,43.711103607547514,-4.0747174328075175,8.419e-05,50,32,8,17,spk_last,6,3,18,6,7,8,4,0.6869199985157429,0.8336227788617817,49.44205610219454
2026-06-26T00:06:26,17,0.431134,9,False,True,"(1, 3)",4.2184126179288235,54.411663532436656,-3.3363549858714623,0.00046094,50,32,4,7,mem_last,29,4,23,4,25,8,4,0.5292028577904955,0.5160743260911108,40.80343554996694
2026-06-26T00:39:22,18,0.353974,9,False,True,"(1, 3)",3.251484389718863,99.28266396571377,-3.96290751362194,0.00010892,50,32,4,21,spk_sum,5,1,46,4,11,5,4,0.7442626277811446,0.9123428306241326,23.3890403588899
2026-06-26T01:43:58,19,0.390818,9,False,True,"(1, 3)",3.354704513942615,87.5901705474434,-4.47884958554067,3.32e-05,50,32,4,27,spk_sum,22,2,52,4,21,3,4,0.5192151470261842,0.5925939102742186,3.7468769484203044
2026-06-26T03:29:49,20,0.397762,9,False,True,"(1, 3)",1.0785159634069368,111.81696709229637,-2.4831006388834655,0.00328775,50,32,13,4,spk_last,10,4,32,8,20,6,2,0.6928434126596192,0.6526314198255331,43.91488836013006
2026-06-26T07:11:46,21,0.450039,9,False,True,"(1, 3)",1.1608735613076862,83.44333261526647,-2.8035621612332937,0.00157195,50,32,16,31,spk_sum,29,2,9,8,16,3,5,0.31965761972695883,0.6887925967934487,22.550080208002846
2026-06-26T09:10:24,22,0.44946,9,False,True,"(1, 3)",1.727522827032158,61.357211579986824,-3.2788621323872653,0.00052618,50,32,7,10,spk_sum,28,4,10,8,21,7,6,0.4542741180149008,0.9685261293576853,27.786224348343932
